bambara,francais
dákɛɲɛ,bouche égaliser
dakɛɲɛ,bouche égaliser
dakènyè,bouche égaliser
dákɛnɛmaya,poser clarté *à *abstractif
dakɛnɛmaya,poser clarté *à *abstractif
dakènèmaya,poser clarté *à *abstractif
dákɛnyɛ,bouche égaliser
dakɛnyɛ,bouche égaliser
dákuruɲa,bouche plier fois
dakuruɲa,bouche plier fois
dakurunya,bouche plier fois
dálabɛ̀n,bouche préparer [ *causatif se.rencontrer ]
dalabɛn,bouche préparer [ *causatif se.rencontrer ]
dalabèn,bouche préparer [ *causatif se.rencontrer ]
dálafiɲɛ,bouche.active [ bouche à ] léger
dalafiɲɛ,bouche.active [ bouche à ] léger
dalafinyè,bouche.active [ bouche à ] léger
dálafiyɛn,bouche.active [ bouche à ] léger
dalafiyɛn,bouche.active [ bouche à ] léger
dalafiyèn,bouche.active [ bouche à ] léger
dálafyɛn,bouche.active [ bouche à ] léger
dalafyɛn,bouche.active [ bouche à ] léger
dalafyèn,bouche.active [ bouche à ] léger
dálakunan,bouche.active [ bouche à ] amer
dalakunan,bouche.active [ bouche à ] amer
dálamàa,bouche remuer [ *causatif toucher ]
dálamàga,bouche remuer [ *causatif toucher ]
dálan,poser *instrumental
dalan,poser *instrumental
dálannabana,lit [ poser *instrumental ] à maladie
dalannabana,lit [ poser *instrumental ] à maladie
dálasà,bouche faire.mourir [ *causatif mourir ]
dalasa,bouche faire.mourir [ *causatif mourir ]
dàluma,cause *comme de
daluma,cause *comme de
dàluntan,cause *privatif
daluntan,cause *privatif
dàluya,cause *abstractif
daluya,cause *abstractif
dámagɛlɛn,bouche.active [ bouche *connecteur ] difficile
damagɛlɛn,bouche.active [ bouche *connecteur ] difficile
damagèlèn,bouche.active [ bouche *connecteur ] difficile
dàmakɛnyɛ,limite [ limite *à ] égaliser
damakɛnyɛ,limite [ limite *à ] égaliser
dámandi,bouche.active [ bouche *connecteur ] agréable
damandi,bouche.active [ bouche *connecteur ] agréable
dàmayira,limite [ limite *à ] montrer
damayira,limite [ limite *à ] montrer
dámìna,bouche attraper
damina,bouche attraper
dámù,bouche enduire
damu,bouche enduire
dámùn,bouche enduire
damun,bouche enduire
dáɲa,poser fois
daɲa,poser fois
danya,poser fois
dànajugu,comportement méchant
danajugu,comportement méchant
dánaya,foi [ poser *je à ] *abstractif
danaya,foi [ poser *je à ] *abstractif
dánbaa,créer *agent occasionnel
danbaa,créer *agent occasionnel
dánbaga,créer *agent occasionnel
danbaga,créer *agent occasionnel
dànblen,rouge
danblen,rouge
dáɲɛgili,fois [ poser fois ] racine
daɲɛgili,fois [ poser fois ] racine
danyègili,fois [ poser fois ] racine
dànkúnbère,limite genou
dankunbere,limite genou
dànma,limite *à
dánmadɔ,nombre [ compte *comme de ] certain
danmadɔ,nombre [ compte *comme de ] certain
danmadò,nombre [ compte *comme de ] certain
dànmakɛɲɛ,limite [ limite *à ] égaliser
danmakɛɲɛ,limite [ limite *à ] égaliser
danmakènyè,limite [ limite *à ] égaliser
dànmakɛnyɛ,limite [ limite *à ] égaliser
danmakɛnyɛ,limite [ limite *à ] égaliser
dànmana,limite endroit *mental1
danmana,limite endroit *mental1
dànmanata,limite endroit *mental2
danmanata,limite endroit *mental2
dànmatɛmɛ,limite [ limite *à ] passer
danmatɛmɛ,limite [ limite *à ] passer
danmatèmè,limite [ limite *à ] passer
dànmatɛ̀mɛ,limite [ limite *à ] passer
dánɔgɔn,bouche facile
danɔgɔn,bouche facile
danògòn,bouche facile
dánpɛ̀ri,bouche
danpɛri,bouche
danpèri,bouche
dánpɛ̀ru,bouche
danpɛru,bouche
danpèru,bouche
dárɔgɛlɛn,bouche.active [ bouche dans ] difficile
darɔgɛlɛn,bouche.active [ bouche dans ] difficile
darògèlèn,bouche.active [ bouche dans ] difficile
dárɔkà,bouche ouvrir
darɔka,bouche ouvrir
daròka,bouche ouvrir
dárɔko,bouche à affaire
darɔko,bouche à affaire
daròko,bouche à affaire
dárɔndi,bouche.active [ bouche dans ] agréable
darɔndi,bouche.active [ bouche dans ] agréable
daròndi,bouche.active [ bouche dans ] agréable
dárɔnkolon,bouche vide [ *causatif vide ]
darɔnkolon,bouche vide [ *causatif vide ]
darònkolon,bouche vide [ *causatif vide ]
dárɔsà,bouche faire.mourir [ *causatif mourir ]
darɔsa,bouche faire.mourir [ *causatif mourir ]
daròsa,bouche faire.mourir [ *causatif mourir ]
dásɔ̀gɔ,bouche percer
dasɔgɔ,bouche percer
dasògò,bouche percer
dásònya,bouche dérober [ voleur *abstractif ]
dasonya,bouche dérober [ voleur *abstractif ]
dásònyɛ,bouche dérober [ voleur *abstractif ]
dasonyɛ,bouche dérober [ voleur *abstractif ]
dasonyè,bouche dérober [ voleur *abstractif ]
dáswà,bouche percer
daswa,bouche percer
dátiyɛn,bouche gâter
datiyɛn,bouche gâter
datiyèn,bouche gâter
dátunu,bouche perdre
datunu,bouche perdre
dátunun,bouche perdre
datunun,bouche perdre
dáyɛ̀lɛ,bouche ouvrir
dáyɛ̀lɛn,bouche ouvrir
dayɛlɛn,bouche ouvrir
dayèlèn,bouche ouvrir
dáyìra,bouche montrer
dayira,bouche montrer
dɛ̀ɛmukan,parole cou
dɛɛmukan,parole cou
dèemukan,parole cou
dɛ̀gɛmukan,parole cou
dɛgɛmukan,parole cou
dègèmukan,parole cou
dégresumanan,degré mesurer *instrumental
degresumanan,degré mesurer *instrumental
dénnaminaden,enfant maintenir [ *causatif attraper ] enfant
dennaminaden,enfant maintenir [ *causatif attraper ] enfant
dénɲɛ̀rɛnin,enfant *diminutif
denɲɛrɛnin,enfant *diminutif
dennyèrènin,enfant *diminutif
dénɲinɛnin,enfant *diminutif
denɲinɛnin,enfant *diminutif
dennyinènin,enfant *diminutif
dénnɔminaden,enfant maintenir [ *causatif attraper ] enfant
dennɔminaden,enfant maintenir [ *causatif attraper ] enfant
dennòminaden,enfant maintenir [ *causatif attraper ] enfant
dényɛ̀nin,enfant *diminutif
denyɛnin,enfant *diminutif
denyènin,enfant *diminutif
dɛ́sɛnyɛ̀rɛkɔ́rɔ,échouer *je même sous
dɛsɛnyɛrɛkɔrɔ,échouer *je même sous
dèsènyèrèkòrò,échouer *je même sous
dìbidìbi,être.obscur être.obscur
dibidibi,être.obscur être.obscur
dìibidìibi,être.obscur être.obscur
diibidiibi,être.obscur être.obscur
dímindon,souffrance entrer
dimindon,souffrance entrer
díɲɛlatigɛ,monde faire.passer [ *causatif couper ]
diɲɛlatigɛ,monde faire.passer [ *causatif couper ]
dinyèlatigè,monde faire.passer [ *causatif couper ]
dínɔ̀nɔ,miel jus
dinɔnɔ,miel jus
dinònò,miel jus
dínɔ̀ɔnɔ,miel jus
dinɔɔnɔ,miel jus
dinòonò,miel jus
dítebin,thé.vert herbe
ditebin,thé.vert herbe
díyabaatɔ,rendre.agréable [ agréable *en verbe dynamique ] *agent occasionnel *statif
diyabaatɔ,rendre.agréable [ agréable *en verbe dynamique ] *agent occasionnel *statif
diyabaatò,rendre.agréable [ agréable *en verbe dynamique ] *agent occasionnel *statif
díyagoya,rendre.agréable [ agréable *en verbe dynamique ] désagréable *en verbe dynamique
diyagoya,rendre.agréable [ agréable *en verbe dynamique ] désagréable *en verbe dynamique
díyakoya,rendre.agréable [ agréable *en verbe dynamique ] désagréable *en verbe dynamique
diyakoya,rendre.agréable [ agréable *en verbe dynamique ] désagréable *en verbe dynamique
díyakòya,bon.goût [ agréable *en verbe dynamique ] désagréable *en verbe dynamique
díyanyebaa,rendre.agréable [ agréable *en verbe dynamique ] *je *postposition polysémique *agent occasionnel
diyanyebaa,rendre.agréable [ agréable *en verbe dynamique ] *je *postposition polysémique *agent occasionnel
díyanyebaatɔ,rendre.agréable [ agréable *en verbe dynamique ] *je *postposition polysémique *agent occasionnel *statif
diyanyebaatɔ,rendre.agréable [ agréable *en verbe dynamique ] *je *postposition polysémique *agent occasionnel *statif
diyanyebaatò,rendre.agréable [ agréable *en verbe dynamique ] *je *postposition polysémique *agent occasionnel *statif
díyanyemaa,plaisir [ rendre.agréable [ agréable *en verbe dynamique ] *je *postposition polysémique ] homme
diyanyemaa,plaisir [ rendre.agréable [ agréable *en verbe dynamique ] *je *postposition polysémique ] homme
díyɛnden,monde enfant
diyɛnden,monde enfant
diyènden,monde enfant
díyɛndenya,bon.vivant [ monde enfant ] *abstractif
diyɛndenya,bon.vivant [ monde enfant ] *abstractif
diyèndenya,bon.vivant [ monde enfant ] *abstractif
díyɛnlaban,monde fin [ *causatif terminer ]
diyɛnlaban,monde fin [ *causatif terminer ]
diyènlaban,monde fin [ *causatif terminer ]
díyɛnnabɔ,monde à sortir
diyɛnnabɔ,monde à sortir
diyènnabò,monde à sortir
díyɛnnatigɛ,monde faire.passer [ *causatif couper ]
diyɛnnatigɛ,monde faire.passer [ *causatif couper ]
diyènnatigè,monde faire.passer [ *causatif couper ]
díyɛnsosigi,monde [ monde maison ] position.assise
diyɛnsosigi,monde [ monde maison ] position.assise
diyènsosigi,monde [ monde maison ] position.assise
díyɛnwuli,monde se.lever
diyɛnwuli,monde se.lever
diyènwuli,monde se.lever
dlánnabana,lit [ poser *instrumental ] à maladie
dlannabana,lit [ poser *instrumental ] à maladie
dlàsaɲɔ,lac petit.mil [ mil ]
dlasaɲɔ,lac petit.mil [ mil ]
dlasanyò,lac petit.mil [ mil ]
dlɔ̀bo,bière.de.mil excrément
dlɔbo,bière.de.mil excrément
dlòbo,bière.de.mil excrément
dlɔ̀donna,bière.de.mil entrer *agent permanent
dlɔdonna,bière.de.mil entrer *agent permanent
dlòdonna,bière.de.mil entrer *agent permanent
dlɔ̀gɛrɛn,bière.de.mil évaporer
dlɔgɛrɛn,bière.de.mil évaporer
dlògèrèn,bière.de.mil évaporer
dlɔ̀gwɛrɛn,bière.de.mil évaporer
dlɔgwɛrɛn,bière.de.mil évaporer
dlògwèrèn,bière.de.mil évaporer
dlɔ̀juru,bière.de.mil corde
dlɔjuru,bière.de.mil corde
dlòjuru,bière.de.mil corde
dlɔ̀kasila,bière.de.mil pleurer *agent permanent
dlɔkasila,bière.de.mil pleurer *agent permanent
dlòkasila,bière.de.mil pleurer *agent permanent
dlɔ̀min,bière.de.mil boire
dlɔmin,bière.de.mil boire
dlòmin,bière.de.mil boire
dlɔ̀minna,bière.de.mil boire *agent permanent
dlɔminna,bière.de.mil boire *agent permanent
dlòminna,bière.de.mil boire *agent permanent
dlɔ̀mɔɔni,bière.de.mil ramollir
dlɔmɔɔni,bière.de.mil ramollir
dlòmòoni,bière.de.mil ramollir
dlɔ̀tɔ,bière.de.mil *statif
dlɔtɔ,bière.de.mil *statif
dlòtò,bière.de.mil *statif
dlɔ̀tɔya,ivre [ bière.de.mil *statif ] *abstractif
dlɔtɔya,ivre [ bière.de.mil *statif ] *abstractif
dlòtòya,ivre [ bière.de.mil *statif ] *abstractif
dnánjigin,étranger descendre
dnanjigin,étranger descendre
dnánjiginso,accueillir [ étranger descendre ] maison
dnanjiginso,accueillir [ étranger descendre ] maison
dnánkɛ,étranger mâle
dnankɛ,étranger mâle
dnankè,étranger mâle
dnánmuso,étranger femme
dnanmuso,étranger femme
dnánnama,étranger *en tant que
dnannama,étranger *en tant que
dnánya,étranger *abstractif
dnanya,étranger *abstractif
dɔ̀dɔlima,espionnage [ suivre *nom d'action ] *action orientée
dɔdɔlima,espionnage [ suivre *nom d'action ] *action orientée
dòdòlima,espionnage [ suivre *nom d'action ] *action orientée
dɔ̀jan,station.debout long
dɔjan,station.debout long
dòjan,station.debout long
dɔ̀kɔtɔrɔfura,docteur feuille
dɔkɔtɔrɔfura,docteur feuille
dòkòtòròfura,docteur feuille
dɔ̀kɔtɔrɔmobili,docteur automobile
dɔkɔtɔrɔmobili,docteur automobile
dòkòtòròmobili,docteur automobile
dɔ̀kɔtɔrɔmuso,docteur féminin
dɔkɔtɔrɔmuso,docteur féminin
dòkòtòròmuso,docteur féminin
dɔ̀kɔtɔrɔso,docteur maison
dɔkɔtɔrɔso,docteur maison
dòkòtòròso,docteur maison
dɔ̀kɔtɔrɔya,docteur *abstractif
dɔkɔtɔrɔya,docteur *abstractif
dòkòtòròya,docteur *abstractif
dòlaji,eau
dolaji,eau
dolariwari,dollar argent
dɔ̀lɔgwɛrɛn,bière.de.mil évaporer
dɔlɔgwɛrɛn,bière.de.mil évaporer
dòlògwèrèn,bière.de.mil évaporer
dɔ́ndɔɔnin,étroit étroit *diminutif
dɔndɔɔnin,étroit étroit *diminutif
dòndòonin,étroit étroit *diminutif
dònfinin,entrer tissu
donfinin,entrer tissu
dɔ̀ngɔna,désir *mental1
dɔngɔna,désir *mental1
dòngòna,désir *mental1
dónjatilan,jour compter *instrumental
donjatilan,jour compter *instrumental
dòn-kà-bɔ́,entrer *infinitif sortir
don-ka-bɔ,entrer *infinitif sortir
don-ka-bò,entrer *infinitif sortir
dòn-kà-fílɛ,entrer *infinitif regarder
don-ka-filɛ,entrer *infinitif regarder
don-ka-filè,entrer *infinitif regarder
dòn-ká-tɛ̀mɛ,entrer *infinitif passer
don-ka-tɛmɛ,entrer *infinitif passer
don-ka-tèmè,entrer *infinitif passer
dónkibaro,jour nouvelle
donkibaro,jour nouvelle
dónkibarobɔla,information.du.jour [ jour nouvelle ] sortir *agent permanent
donkibarobɔla,information.du.jour [ jour nouvelle ] sortir *agent permanent
donkibarobòla,information.du.jour [ jour nouvelle ] sortir *agent permanent
dónkò,jour ce
donko,jour ce
dònkɔnɔ,entrer *je dans
donkɔnɔ,entrer *je dans
donkònò,entrer *je dans
dónmafla,jour *à deux
donmafla,jour *à deux
dònobugun,coq se.blottir
donobugun,coq se.blottir
dònokɔrɔ,coq mâle.adulte
donokɔrɔ,coq mâle.adulte
donokòrò,coq mâle.adulte
dònotùlu,coq huppe
donotulu,coq huppe
dònowalan,coq moyen
donowalan,coq moyen
dònsɛ,entrer poule
donsɛ,entrer poule
donsè,entrer poule
dònsyɛ,entrer poule
donsyɛ,entrer poule
donsyè,entrer poule
dónwò,jour ce
donwo,jour ce
dɔ̀surun,station.debout court
dɔsurun,station.debout court
dòsurun,station.debout court
drɔ́gutala,drogue prendre *agent permanent
drɔgutala,drogue prendre *agent permanent
drògutala,drogue prendre *agent permanent
dùfamàsakɔrɔ,vautour roi vieux
dufamasakɔrɔ,vautour roi vieux
dufamasakòrò,vautour roi vieux
dùgujɛnda,aube [ terre blanc ] bouche
dugujɛnda,aube [ terre blanc ] bouche
dugujènda,aube [ terre blanc ] bouche
dùgusajɛ,terre blanc
dugusajɛ,terre blanc
dugusajè,terre blanc
dùlenya,courber *participe résultatif *abstractif
dulenya,courber *participe résultatif *abstractif
dùlɔbo,bière.de.mil excrément
dulɔbo,bière.de.mil excrément
dulòbo,bière.de.mil excrément
dùlɔdonna,bière.de.mil entrer *agent permanent
dulɔdonna,bière.de.mil entrer *agent permanent
dulòdonna,bière.de.mil entrer *agent permanent
dùlɔgɛrɛn,bière.de.mil évaporer
dulɔgɛrɛn,bière.de.mil évaporer
dulògèrèn,bière.de.mil évaporer
dùlɔgwɛrɛn,bière.de.mil évaporer
dulɔgwɛrɛn,bière.de.mil évaporer
dulògwèrèn,bière.de.mil évaporer
dùlɔjuru,bière.de.mil corde
dulɔjuru,bière.de.mil corde
dulòjuru,bière.de.mil corde
dùlɔkasila,bière.de.mil pleurer *agent permanent
dulɔkasila,bière.de.mil pleurer *agent permanent
dulòkasila,bière.de.mil pleurer *agent permanent
dù̀lɔmin,bière.de.mil boire
dulɔmin,bière.de.mil boire
dulòmin,bière.de.mil boire
dùlɔminna,bière.de.mil boire *agent permanent
dulɔminna,bière.de.mil boire *agent permanent
dulòminna,bière.de.mil boire *agent permanent
dùlɔmɔɔni,bière.de.mil ramollir
dulɔmɔɔni,bière.de.mil ramollir
dulòmòoni,bière.de.mil ramollir
dùlɔtɔ,bière.de.mil *statif
dulɔtɔ,bière.de.mil *statif
dulòtò,bière.de.mil *statif
dùlɔtɔya,ivre [ bière.de.mil *statif ] *abstractif
dulɔtɔya,ivre [ bière.de.mil *statif ] *abstractif
dulòtòya,ivre [ bière.de.mil *statif ] *abstractif
dúnanjigin,étranger descendre
dunanjigin,étranger descendre
dùsukunɲugu,coeur [ coeur tête ] nausée
dusukunɲugu,coeur [ coeur tête ] nausée
dusukunnyugu,coeur [ coeur tête ] nausée
dùsuɲugu,coeur nausée
dusuɲugu,coeur nausée
dusunyugu,coeur nausée
dwáden,marché enfant
dwaden,marché enfant
dwáfurancɛ,marché distance [ distance milieu ]
dwafurancɛ,marché distance [ distance milieu ]
dwafurancè,marché distance [ distance milieu ]
dwákɛ,cadet mâle
dwakɛ,cadet mâle
dwakè,cadet mâle
dwákun,marché tête
dwakun,marché tête
dwámuso,cadet femme
dwamuso,cadet femme
dwánin,cadet *diminutif
dwanin,cadet *diminutif
dwáɲinina,fagot chercher *agent permanent
dwaɲinina,fagot chercher *agent permanent
dwanyinina,fagot chercher *agent permanent
dwásiri,fagot lier
dwasiri,fagot lier
dwáya,étroit *en verbe dynamique
dwaya,étroit *en verbe dynamique
dwáyama,petitesse [ étroit *en verbe dynamique ] *comme de
dwayama,petitesse [ étroit *en verbe dynamique ] *comme de
